itemName,type,meal,location,ingredients
FRENCH TOAST STICKS PLATTER,BREAKFAST ENTREES,Breakfast,Atrium,"FRENCH TOAST STICKS, POTATO TATER TOT (POTATOES, VEGETABLE OIL (SOYBEAN, CANOLA, AND OR COTTONSEED OILS), CONTAINS LESS THAN 2% OF DEXTROSE, SEA SALT, DISODIUM DIHYDROGEN PYROPHOSPHATE (TO MAINTAIN NATURAL COLOR.), FRZ SAUSAGE PATTY 1.33OZ COOKED (PORK, WATER, SALT, SPICES, DEXTROSE, SUGAR, FLAVORING, LIME JUICE CONCENTRATE), BISCUIT BUTTERMILK RTE"
KINGS HAWAIIAN BREAKFAST SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium,"ROLL KINGS HAWAIIAN HAMBURGER BUN, FRIED EGG (EGGS FRESH X LARGE 15 DZ, SALT, VEGAN BUTTER ALTERNATIVE (SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, SALT, SOY LECITHIN, TBHQ AND CITRIC ACID ADDED TO HELP PRESERVE FRESHNESS, NATURAL AND ARTIFICIAL FLAVOR, BETA-CAROTENE (COLOR), DIMETHYLPOLYSILOXANE), BLACK PEPPER), FRZ SAUSAGE PATTY 1.33OZ COOKED (PORK, WATER, SALT, SPICES, DEXTROSE, SUGAR, FLAVORING, LIME JUICE CONCENTRATE), CHEESE AMERICAN SLCD YELLOW (SKIM MILK, AMERICAN CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), PALM OIL, CASEIN (MILK PROTEIN), MODIFIED FOOD STARCH, SODIUM CITRATE, SALT, NATURAL FLAVOR, WHEY, CITRIC ACID, SORBIC ACID (AS A PRESERVATIVE), ARTIFICIAL COLOR, LECITHIN (SOY))"
KINGS HAWAIIAN CROISANT SANDWICH,BREAKFAST ENTREES,Breakfast,Atrium,"FRIED EGG (EGGS FRESH X LARGE 15 DZ, SALT, VEGAN BUTTER ALTERNATIVE (SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, SALT, SOY LECITHIN, TBHQ AND CITRIC ACID ADDED TO HELP PRESERVE FRESHNESS, NATURAL AND ARTIFICIAL FLAVOR, BETA-CAROTENE (COLOR), DIMETHYLPOLYSILOXANE), BLACK PEPPER), CROISSANT XLARGE 3.5OZ (UNBLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (PASTEURIZED CREAM), WATER, FRESH MILK, SUGAR, EGGS, YEAST, SALT, ASCORBIC ACID, ENZYMES. MAY ALSO CONTAIN TRACE AMOUNTS OF ALMOND, PECAN, SOY, AND SESAME SEEDS.), FRZ SAUSAGE PATTY 1.33OZ COOKED (PORK, WATER, SALT, SPICES, DEXTROSE, SUGAR, FLAVORING, LIME JUICE CONCENTRATE), CHEESE AMERICAN SLCD YELLOW (SKIM MILK, AMERICAN CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), PALM OIL, CASEIN (MILK PROTEIN), MODIFIED FOOD STARCH, SODIUM CITRATE, SALT, NATURAL FLAVOR, WHEY, CITRIC ACID, SORBIC ACID (AS A PRESERVATIVE), ARTIFICIAL COLOR, LECITHIN (SOY))"
SCRAMBLED EGG PLATTER,BREAKFAST ENTREES,Breakfast,Atrium,"SCRAMBLED EGGS (EGG LIQUID 2/20lb CASE (WHOLE EGGS, CITRIC ACID.), MILK WHOLE 5GAL, VEGAN BUTTER ALTERNATIVE (SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, SALT, SOY LECITHIN, TBHQ AND CITRIC ACID ADDED TO HELP PRESERVE FRESHNESS, NATURAL AND ARTIFICIAL FLAVOR, BETA-CAROTENE (COLOR), DIMETHYLPOLYSILOXANE)), POTATO TATER TOT (POTATOES, VEGETABLE OIL (SOYBEAN, CANOLA, AND OR COTTONSEED OILS), CONTAINS LESS THAN 2% OF DEXTROSE, SEA SALT, DISODIUM DIHYDROGEN PYROPHOSPHATE (TO MAINTAIN NATURAL COLOR.), FRZ SAUSAGE PATTY 1.33OZ COOKED (PORK, WATER, SALT, SPICES, DEXTROSE, SUGAR, FLAVORING, LIME JUICE CONCENTRATE), BISCUIT BUTTERMILK RTE"
BAJA SHRIMP TACO W/ CILANTRO LIME CREME,ENTREES,Lunch,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), FRZ FISH SHRIMP LG PDI 41-50CT T/OFF, PRD GARLIC PEELED FRESH GAL, TORTILLAS FLOUR 6"", JUICE FRESH LIME NATURAL, CILANTRO CREMA (MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), PRD ONION GREEN SCALLION, HERB FRESH CILANTRO BUNCH, PRD PEPPER CHILE SERRANO GREEN, BLACK PEPPER, SALT), PRD CABBAGE GREEN SHRED 5LB, PRD ONION GREEN SCALLION, OIL OLIVE PURE, KOSHER SALT, HERB FRESH CILANTRO BUNCH, BLACK PEPPER, OREGANO LEAVES, GROUND CUMIN, GROUND CORIANDER, CHILI POWDER (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING), AND GARLIC.)"
BEEF SLIDERS,ENTREES,Lunch,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), BEEF SLIDER 80/2oz FRESH THICK, PRD TOMATO LARGE (6x6), PRD LETTUCE SHREDDED"
BRISKET TACO,ENTREES,Lunch,Atrium,"TRI COLOR TORTILLA CHIP W/ TAJIN (CHIP TORTILLA TRI-COLOR), SMOKED BEEF BRISKET (BEEF BRISKET 120, BUTTER PRINT SOLIDS 36/1lb, ONION POWDER, GRANULATED GARLIC, BLACK PEPPER, KOSHER SALT), HABANERO LIME GARLIC CREMA (FRU PRD LIMES, MILK SOUR CREAM 5LB (CULTURED PASTEURIZED LIGHT CREAM, NONFAT MILK, AND ENZYMES), HERB FRESH CILANTRO BUNCH, PRD GARLIC PEELED FRESH GAL, KOSHER SALT), TORTILLAS FLOUR 6"", ROASTED CORN PICO DE GALLO (PICO DE GALLO FRESH, PRD CORN ON THE COB/YELLOW, JUICE FRESH LIME NATURAL, HERB FRESH CILANTRO BUNCH, KOSHER SALT, BLACK PEPPER), CARMELIZED ONIONS (PRD ONION SPANISH SLICED, OIL WESSON CANOLA 4/1GAL, KOSHER SALT)"
CALIFORNIA ROLL,ENTREES,Lunch,Atrium,"SUSHI RICE (WATER FRESH, RICE STICKY (ORIENTAL), VINEGAR RICE SEASONED (RICE VINEGAR (WATER, RICE), SUGAR, SALT, WATER), SAUCE MIRIN (GLUCOSE SYRUP, WATER, ALCOHOL, RICE, CORN SYRUP, SALT)), PRD CUCUMBER SEEDLESS 12ct, FRZ FISH SEA LEGS STICKS, FRU PRD AVOCADO RIPE CAL 48CT, GLUTEN FREE TAMARI SOY SAUCE, WRAP NORI ( SEAWEED SHEET ), WASABI (WASABI POWDER (HORSERADISH, MUSTARD, CITRIC ACID, VITAMIN C, FD&C YELLOW NO. 5, FD&C BLUE NO. 1), WATER FRESH), PICKLE GINGER SUSHI"
CHEESEBURGER SLIDER,ENTREES,Lunch,Atrium,"KINGS HAWAIIN BASE (POTATO FRIES SEASONED WAFFLE , ROLL KINGS HAWAIIAN FOODSERVICE SLICED, PICKLE WHOLE NEW (GREEN)), BEEF SLIDER 80/2oz FRESH THICK, CHEESE AMERICAN SLCD YELLOW (SKIM MILK, AMERICAN CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), PALM OIL, CASEIN (MILK PROTEIN), MODIFIED FOOD STARCH, SODIUM CITRATE, SALT, NATURAL FLAVOR, WHEY, CITRIC ACID, SORBIC ACID (AS A PRESERVATIVE), ARTIFICIAL COLOR, LECITHIN (SOY)), PRD TOMATO LARGE (6x6), PRD LETTUCE SHREDDED"
CHICKEN FINGER,ENTREES,Lunch,Atrium,"POTATO FRIES SEASONED WAFFLE , FRZ CHICKEN BRD TENDER SIZED (PORTIONED CHICKEN TENDERS WITH RIB MEAT CONTAINING: UP TO 12% OF A SOLUTION OF WATER, SALT, SODIUM PHOSPHATES, MODIFIED FOOD STARCH. BREADED WITH: BLEACHED WHEAT FLOUR, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: AUTOLYZED YEAST EXTRACT, DEXTROSE, DRIED YEAST, DISODIUM INOSINATE AND DISODIUM GUANYLATE, LEAVENING (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), SALT, SOYBEAN OIL, SPICES, SPICE EXTRACTIVE, WHEAT GLUTEN. BREADING SET IN VEGETABLE OIL.), PICKLE WHOLE NEW (GREEN)"
